,position,team name,weighted match,point,rating
0,1,Pakistan,26,"7,365",283
1,2,England,16,"4,253",266
2,3,South Africa,16,"4,196",262
3,4,Australia,21,"5,471",261
4,5,India,28,"7,273",260
5,6,New Zealand,16,"4,056",254
6,7,Afghanistan,16,"3,849",241
7,8,Sri Lanka,18,"4,093",227
8,9,West Indies,21,"4,747",226
9,10,Bangladesh,16,"3,525",220
10,11,Nepal,8,"1,698",212
11,12,Scotland,11,"2,185",199
12,13,Zimbabwe,9,"1,730",192
13,14,Netherlands,9,"1,686",187
14,15,Ireland,19,"3,455",182
15,16,UAE,14,"2,527",181
16,17,Papua New Guinea,17,"2,920",172
17,18,Oman,5,774,155
18,19,Hong Kong,8,"1,213",152
19,20,Namibia,9,"1,273",141
20,21,Qatar,11,"1,421",129
21,22,Saudi Arabia,11,"1,331",121
22,23,Singapore,10,"1,181",118
23,24,Denmark,7,813,116
24,25,Canada,8,887,111
25,26,Jersey,8,851,106
26,27,Kuwait,7,727,104
27,28,Ghana,6,602,100
28,29,Kenya,9,851,95
29,30,Botswana,12,"1,120",93
30,31,United States,9,758,84
31,32,Austria,6,439,73
32,33,Malaysia,12,877,73
33,34,Germany,11,774,70
34,35,Guernsey,8,546,68
35,36,Uganda,10,678,68
36,37,Sweden,8,465,58
37,38,Tanzania,6,334,56
38,39,Nigeria,7,383,55
39,40,Luxembourg,6,328,55
40,41,Spain,9,479,53
41,42,Philippines,9,433,48
42,43,France,6,267,45
43,44,Belize,9,377,42
44,45,Peru,9,356,40
45,46,Bahrain,7,261,37
46,47,Mexico,12,426,36
47,48,Fiji,6,210,35
48,49,Samoa,6,205,34
49,50,Vanuatu,10,330,33
50,51,Panama,9,291,32
51,52,Belgium,9,290,32
52,53,Japan,10,317,32
53,54,Costa Rica,8,252,32
54,55,Thailand,10,313,31
55,56,Argentina,12,370,31
56,57,Hungary,6,180,30
57,58,Mozambique,12,352,29
58,59,Chile,10,249,25
59,60,Malawi,12,297,25
60,61,Israel,7,173,25
61,62,Bhutan,8,180,23
62,63,Finland,8,177,22
63,64,South Korea,10,217,22
64,65,Isle of Man,7,149,21
65,66,Malta,11,158,14
66,67,Bulgaria,5,68,14
67,68,Sierra Leone,5,61,12
68,69,Brazil,9,108,12
69,70,Czech Republic,10,91,9
70,71,Saint Helena,12,109,9
71,72,Maldives,8,63,8
72,73,Gibraltar,8,35,4
73,74,Myanmar,9,23,3
74,75,Indonesia,7,3,0
75,76,Lesotho,6,0,0
76,77,Rwanda,6,0,0
77,78,Swaziland,6,0,0
78,79,Gambia,6,0,0
79,80,China,11,0,0
